film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,year
1486,525,320000,4,3,2,1.23,80000.0,1,325.2032520325203,2018-01-04,4,2,1,2018
1485,531,3420000,57,0,3,34.55,60000.0,57,164.9782923299566,2018-01-04,4,2,1,2018
1485,314,3500000,50,0,4,5.18,70000.0,50,965.2509652509654,2018-01-04,4,2,1,2018
1486,531,600000,10,0,1,18.18,60000.0,10,55.00550055005501,2018-01-04,4,2,1,2018
1486,368,700000,14,0,1,3.78,50000.0,14,370.3703703703704,2018-01-04,4,2,1,2018
1485,509,950000,19,0,2,3.7,50000.0,19,513.5135135135135,2018-01-04,4,2,1,2018
1486,115,1100000,11,0,1,3.81,100000.0,11,288.71391076115486,2018-01-04,4,2,1,2018
1486,222,1120000,14,0,3,3.89,80000.0,14,359.8971722365039,2018-01-04,4,2,1,2018
1486,247,1320000,22,0,2,27.5,60000.0,22,80.0,2018-01-04,4,2,1,2018
1485,432,3440000,43,0,4,3.52,80000.0,43,1221.5909090909092,2018-01-04,4,2,1,2018
1486,476,1640000,17,0,3,1.04,96470.58823529413,17,1634.6153846153848,2018-01-04,4,2,1,2018
1486,43,2000000,25,0,6,7.37,80000.0,25,339.21302578019,2018-01-04,4,2,1,2018
1486,181,2000000,23,0,3,4.85,86956.52173913043,23,474.22680412371136,2018-01-04,4,2,1,2018
1486,82,1120000,14,0,6,0.79,80000.0,14,1772.1518987341772,2018-01-04,4,2,1,2018
1485,472,3815000,62,0,2,10.76,61532.25806451613,62,576.2081784386618,2018-01-04,4,2,1,2018
1485,451,1050000,21,0,2,9.13,50000.0,21,230.0109529025192,2018-01-04,4,2,1,2018
1485,441,1650000,33,0,6,2.12,50000.0,33,1556.6037735849056,2018-01-04,4,2,1,2018
1486,225,1890000,27,0,6,1.98,70000.0,27,1363.6363636363635,2018-01-04,4,2,1,2018
1483,304,359550000,2399,0,14,76.92,149874.94789495622,2399,3118.82475299012,2018-01-04,4,2,1,2018
1485,429,9300000,93,0,1,85.32,100000.0,93,109.00140646976092,2018-01-04,4,2,1,2018
1485,333,9420000,157,0,8,9.0,60000.0,157,1744.4444444444443,2018-01-04,4,2,1,2018
1486,518,2760000,23,0,3,9.7,120000.0,23,237.11340206185568,2018-01-04,4,2,1,2018
1486,277,2880000,36,0,2,22.5,80000.0,36,160.0,2018-01-04,4,2,1,2018
1486,196,2960000,37,0,3,20.56,80000.0,37,179.96108949416342,2018-01-04,4,2,1,2018
1486,522,28350000,189,0,5,44.26,150000.0,189,427.0221418888388,2018-01-04,4,2,1,2018
1486,528,3000000,25,0,2,26.6,120000.0,25,93.98496240601504,2018-01-04,4,2,1,2018
1486,172,3700000,37,0,3,13.7,100000.0,37,270.0729927007299,2018-01-04,4,2,1,2018
1486,497,2700000,27,0,1,33.33,100000.0,27,81.008100810081,2018-01-04,4,2,1,2018
1486,306,3720000,62,0,4,3.66,60000.0,62,1693.9890710382515,2018-01-04,4,2,1,2018
1486,516,4160000,52,5,1,44.44,80000.0,47,117.011701170117,2018-01-04,4,2,1,2018
1486,313,5520000,74,0,4,6.09,74594.5945945946,74,1215.1067323481118,2018-01-04,4,2,1,2018
1486,414,3290000,47,0,2,16.32,70000.0,47,287.9901960784314,2018-01-04,4,2,1,2018
1486,344,28800000,192,0,3,24.03,150000.0,192,799.0012484394507,2018-01-04,4,2,1,2018
1486,485,34950000,236,0,4,57.84,148093.22033898305,236,408.0221300138312,2018-01-04,4,2,1,2018
1486,450,35250000,240,0,3,75.47,146875.0,240,318.00715516099115,2018-01-04,4,2,1,2018
1486,529,4080000,34,0,1,72.34,120000.0,34,47.000276472214544,2018-01-04,4,2,1,2018
1482,518,85140000,786,1,9,73.8,108320.6106870229,785,1065.040650406504,2018-01-04,4,2,1,2018
1486,61,2400000,30,0,6,5.0,80000.0,30,600.0,2018-01-04,4,2,1,2018
1486,88,5700000,57,0,7,12.72,100000.0,57,448.1132075471698,2018-01-04,4,2,1,2018
1486,72,20760000,173,2,3,57.1,120000.0,171,302.9772329246935,2018-01-04,4,2,1,2018
1486,524,20250000,135,0,5,92.47,150000.0,135,145.9932951227425,2018-01-04,4,2,1,2018
1486,163,17880000,149,0,6,60.82,120000.0,149,244.9852022361065,2018-01-04,4,2,1,2018
1486,210,16000000,200,0,4,30.03,80000.0,200,666.000666000666,2018-01-04,4,2,1,2018
1486,89,15600000,130,0,3,45.77,120000.0,130,284.02883985143103,2018-01-04,4,2,1,2018
1486,429,14200000,142,0,3,43.43,100000.0,142,326.9629288510246,2018-01-04,4,2,1,2018
1486,471,2360000,30,0,3,2.86,78666.66666666667,30,1048.951048951049,2018-01-04,4,2,1,2018
1486,396,13700000,137,0,4,24.46,100000.0,137,560.0981193785773,2018-01-04,4,2,1,2018
1486,266,12750000,85,0,3,17.38,150000.0,85,489.06789413118526,2018-01-04,4,2,1,2018
1486,73,11760000,98,0,1,100.0,120000.0,98,98.0,2018-01-04,4,2,1,2018
1486,474,8400000,106,7,3,88.33,79245.28301886792,99,120.00452847277256,2018-01-04,4,2,1,2018
1486,456,8280000,140,0,2,66.67,59142.857142857145,140,209.9895005249737,2018-01-04,4,2,1,2018
1486,98,7100000,71,0,7,5.48,100000.0,71,1295.6204379562043,2018-01-04,4,2,1,2018
1486,417,5795000,59,0,3,7.99,98220.33898305084,59,738.4230287859824,2018-01-04,4,2,1,2018
1486,50,13200000,111,0,3,37.76,118918.91891891892,111,293.9618644067797,2018-01-04,4,2,1,2018
1485,466,9360000,156,0,4,22.81,60000.0,156,683.9105655414293,2018-01-04,4,2,1,2018
1482,524,81540000,546,0,7,91.46,149340.65934065933,546,596.9822873387274,2018-01-04,4,2,1,2018
1482,70,80500000,805,0,14,15.75,100000.0,805,5111.111111111111,2018-01-04,4,2,1,2018
1486,448,110435000,750,0,6,63.78,147246.66666666666,750,1175.9172154280338,2018-01-04,4,2,1,2018
1482,448,370887000,2510,0,15,80.4,147763.74501992032,2510,3121.890547263681,2018-01-04,4,2,1,2018
1482,417,89690000,912,0,5,46.67,98344.29824561405,912,1954.146132419113,2018-01-04,4,2,1,2018
1482,34,253680000,2120,0,7,67.3,119660.37735849056,2120,3150.074294205052,2018-01-04,4,2,1,2018
1482,89,178950000,1194,0,6,51.03,149874.3718592965,1194,2339.8001175778954,2018-01-04,4,2,1,2018
1482,344,158850000,1074,0,5,81.12,147905.0279329609,1074,1323.96449704142,2018-01-04,4,2,1,2018
1486,304,82050000,547,0,4,80.44,150000.0,547,680.0099453008453,2018-01-04,4,2,1,2018
1482,71,118050000,797,0,3,72.79,148117.94228356337,797,1094.9306223382332,2018-01-04,4,2,1,2018
1482,182,111040000,1388,0,4,69.19,80000.0,1388,2006.070241364359,2018-01-04,4,2,1,2018
1482,304,111000000,751,0,6,82.98,147802.9294274301,751,905.0373583996144,2018-01-04,4,2,1,2018
1482,163,191150000,1429,0,8,77.79,133764.87053883835,1429,1836.997043321764,2018-01-04,4,2,1,2018
1486,380,2200000,22,0,1,22.0,100000.0,22,100.0,2018-01-04,4,2,1,2018
1486,415,2170000,31,0,2,4.61,70000.0,31,672.4511930585683,2018-01-04,4,2,1,2018
1486,204,2030000,29,0,8,1.18,70000.0,29,2457.627118644068,2018-01-04,4,2,1,2018
