film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,month,quarter,day,year
1481,55,2560000,233,0,3,28.77,10987.124463519312,233,809.8713938129997,4,2,1,2018
1481,164,4060000,58,0,2,65.91,70000.0,58,87.9987862236383,4,2,1,2018
1481,321,2050000,41,0,2,4.7,50000.0,41,872.3404255319149,4,2,1,2018
1481,331,1540000,22,0,1,5.0,70000.0,22,440.00000000000006,4,2,1,2018
1481,495,1200000,20,0,1,7.02,60000.0,20,284.90028490028493,4,2,1,2018
1481,509,960000,24,0,1,9.34,40000.0,24,256.9593147751606,4,2,1,2018
1481,326,550000,11,0,2,1.92,50000.0,11,572.9166666666667,4,2,1,2018
1481,507,450000,9,0,1,4.95,50000.0,9,181.8181818181818,4,2,1,2018
1484,508,400000,8,0,1,3.13,50000.0,8,255.59105431309905,4,2,1,2018
1481,529,1680000,14,0,1,29.79,120000.0,14,46.99563611950319,4,2,1,2018
1484,505,450000,9,0,1,4.64,50000.0,9,193.9655172413793,4,2,1,2018
1481,430,4200000,42,0,1,55.26,100000.0,42,76.0043431053203,4,2,1,2018
1481,196,4560000,57,0,2,30.81,80000.0,57,185.0048685491724,4,2,1,2018
1481,480,9360000,159,0,2,72.27,58867.92452830189,159,220.00830220008305,4,2,1,2018
1481,513,9200000,92,0,1,37.1,100000.0,92,247.97843665768195,4,2,1,2018
1481,94,9030000,129,0,6,4.22,70000.0,129,3056.872037914692,4,2,1,2018
1481,198,9030000,129,0,2,35.93,70000.0,129,359.03145004174786,4,2,1,2018
1481,365,8960000,128,0,6,6.87,70000.0,128,1863.1732168850072,4,2,1,2018
1481,194,8850000,177,0,2,33.65,50000.0,177,526.0029717682021,4,2,1,2018
1481,362,4340000,62,0,4,9.72,70000.0,62,637.8600823045267,4,2,1,2018
1481,115,8400000,84,0,2,14.53,100000.0,84,578.114246386786,4,2,1,2018
1481,222,6640000,83,0,4,17.29,80000.0,83,480.04626951995374,4,2,1,2018
1481,414,6510000,93,0,1,64.58,70000.0,93,144.00743264168474,4,2,1,2018
1481,528,6280000,61,0,4,11.78,102950.81967213115,61,517.8268251273346,4,2,1,2018
1481,291,6150000,140,0,3,25.69,43928.57142857143,140,544.959128065395,4,2,1,2018
1481,338,5920000,74,0,2,17.37,80000.0,74,426.0218767990788,4,2,1,2018
1481,165,5360000,67,0,1,51.54,80000.0,67,129.99611951882034,4,2,1,2018
1481,214,6950000,139,0,5,19.31,50000.0,139,719.8342827550492,4,2,1,2018
1481,390,9680000,121,1,4,85.71,80000.0,120,141.17372535293433,4,2,1,2018
1484,402,1620000,27,0,2,5.63,60000.0,27,479.5737122557727,4,2,1,2018
1484,492,2820000,50,0,1,24.04,56400.0,50,207.98668885191347,4,2,1,2018
1484,479,8800000,110,0,2,32.54,80000.0,110,338.0454824830977,4,2,1,2018
1484,464,9440000,118,0,1,33.24,80000.0,118,354.99398315282787,4,2,1,2018
1484,194,9900000,198,0,2,37.64,50000.0,198,526.0361317747078,4,2,1,2018
1484,490,10710000,153,0,4,7.62,70000.0,153,2007.8740157480315,4,2,1,2018
1484,94,11410000,163,0,8,4.0,70000.0,163,4075.0,4,2,1,2018
1484,310,11760000,196,0,2,21.78,60000.0,196,899.9081726354452,4,2,1,2018
1484,168,8800000,88,0,3,48.89,100000.0,88,179.99590918388216,4,2,1,2018
1484,468,11890000,194,0,3,43.99,61288.65979381443,194,441.00932030006817,4,2,1,2018
1484,273,12300000,246,0,3,22.16,50000.0,246,1110.1083032490974,4,2,1,2018
1484,180,12320000,154,0,2,42.08,80000.0,154,365.96958174904944,4,2,1,2018
1484,321,12350000,247,0,2,28.33,50000.0,247,871.8672785033533,4,2,1,2018
1484,531,12420000,207,0,4,36.7,60000.0,207,564.0326975476839,4,2,1,2018
1484,338,14160000,177,0,2,35.98,80000.0,177,491.9399666481379,4,2,1,2018
1484,453,14310000,295,0,5,38.31,48508.47457627119,295,770.0339336987731,4,2,1,2018
1484,415,12250000,175,0,2,26.04,70000.0,175,672.0430107526882,4,2,1,2018
1484,509,2450000,49,0,2,9.53,50000.0,49,514.1657922350473,4,2,1,2018
1484,466,8610000,144,0,3,28.07,59791.66666666666,144,513.0032062700392,4,2,1,2018
1484,237,8280000,138,0,3,13.53,60000.0,138,1019.9556541019956,4,2,1,2018
1484,472,3500000,50,0,1,17.36,70000.0,50,288.0184331797236,4,2,1,2018
1484,457,3800000,76,0,3,8.17,50000.0,76,930.232558139535,4,2,1,2018
1484,467,4100000,82,0,2,10.25,50000.0,82,800.0,4,2,1,2018
1484,299,4350000,97,0,2,10.39,44845.36082474227,97,933.5899903753608,4,2,1,2018
1484,503,4510000,52,0,2,52.53,86730.76923076923,52,98.99105273177231,4,2,1,2018
1484,315,4550000,91,0,1,60.67,50000.0,91,149.9917586945772,4,2,1,2018
1484,484,8400000,168,0,3,37.33,50000.0,168,450.0401821591214,4,2,1,2018
1484,285,4700000,47,0,6,7.12,100000.0,47,660.1123595505618,4,2,1,2018
1484,331,5390000,77,0,1,17.5,70000.0,77,440.00000000000006,4,2,1,2018
1484,324,5530000,79,0,5,7.86,70000.0,79,1005.089058524173,4,2,1,2018
1484,486,5675000,142,0,2,25.36,39964.788732394365,142,559.9369085173502,4,2,1,2018
1484,300,5920000,74,0,2,11.38,80000.0,74,650.2636203866432,4,2,1,2018
1484,286,6930000,99,0,2,19.8,70000.0,99,500.0,4,2,1,2018
1484,253,7560000,108,0,3,9.11,70000.0,108,1185.5104281009878,4,2,1,2018
1484,491,5130000,57,0,4,1.78,90000.0,57,3202.247191011236,4,2,1,2018
1484,304,181650000,1230,0,8,89.65,147682.92682926828,1230,1372.0022308979362,4,2,1,2018
1482,195,49600000,620,0,11,37.8,80000.0,620,1640.21164021164,4,2,1,2018
1482,266,50850000,339,0,5,43.74,150000.0,339,775.0342935528121,4,2,1,2018
1483,448,856010000,5781,0,32,80.99,148072.99775125412,5781,7137.918261513768,4,2,1,2018
1483,304,359550000,2399,0,14,76.92,149874.94789495622,2399,3118.82475299012,4,2,1,2018
1483,524,260430000,1743,1,13,60.23,149414.80206540448,1742,2893.9066910177653,4,2,1,2018
